ROI,Anatomical_location,Network,Network_Yeo_7,Network_nina,Network_Yeo_7_nina
1,"L. sup. frontal gyrus",Frontoparietal,6,Frontoparietal,6
2,"R. sup. frontal gyrus",Ventral Attention,4,Ventral Attention,4
3,"L. sup. frontal gyrus",DMN,7,DMN,7
4,"R. sup. frontal gyrus",Frontoparietal,6,Frontoparietal,6
5,"L. sup. frontal gyrus",DMN,7,DMN,7
6,"R. sup. frontal gyrus",DMN,7,DMN,7
7,"L. sup. frontal gyrus",Dorsal Attention,3,Dorsal Attention,3
8,"R. sup. frontal gyrus",Dorsal Attention,3,Dorsal Attention,3
9,"L. sup. frontal gyrus",Somatomotor,2,Somatomotor,2
10,"R. sup. frontal gyrus",Somatomotor,2,Somatomotor,2
11,"L. sup. frontal gyrus",DMN,7,DMN,7
12,"R. sup. frontal gyrus",Frontoparietal,6,Frontoparietal,6
13,"L. sup. frontal gyrus",DMN,7,DMN,7
14,"R. sup. frontal gyrus",DMN,7,DMN,7
15,"L. middle frontal gyrus",Ventral Attention,4,Ventral Attention,4
16,"R. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
17,"L. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
18,"R. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
19,"L. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
20,"R. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
21,"L. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
22,"R. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
23,"L. middle frontal gyrus",DMN,7,DMN,7
24,"R. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
25,"L. middle frontal gyrus",Dorsal Attention,3,Dorsal Attention,3
26,"R. middle frontal gyrus",Dorsal Attention,3,Dorsal Attention,3
27,"L. middle frontal gyrus",Limbic,5,Limbic,5
28,"R. middle frontal gyrus",Frontoparietal,6,Frontoparietal,6
29,"L. inf. frontal gyrus",Frontoparietal,6,Frontoparietal,6
30,"R. inf. frontal gyrus",Dorsal Attention,3,Dorsal Attention,3
31,"L. inf. frontal gyrus",Frontoparietal,6,Frontoparietal,6
32,"R. inf. frontal gyrus",Frontoparietal,6,Frontoparietal,6
33,"L. inf. frontal gyrus",DMN,7,DMN,7
34,"R. inf. frontal gyrus",DMN,7,DMN,7
35,"L. inf. frontal gyrus",DMN,7,DMN,7
36,"R. inf. frontal gyrus",Frontoparietal,6,Frontoparietal,6
37,"L. inf. frontal gyrus",Ventral Attention,4,Ventral Attention,4
38,"R. inf. frontal gyrus",Ventral Attention,4,Ventral Attention,4
39,"L. inf. frontal gyrus",Ventral Attention,4,Ventral Attention,4
40,"R. inf. frontal gyrus",Ventral Attention,4,Ventral Attention,4
41,"L. orbital gyrus",DMN,7,DMN,7
42,"R. orbital gyrus",DMN,7,DMN,7
43,"L. orbital gyrus",DMN,7,DMN,7
44,"R. orbital gyrus",DMN,7,DMN,7
45,"L. orbital gyrus",Limbic,5,Limbic,5
46,"R. orbital gyrus",Frontoparietal,6,Frontoparietal,6
47,"L. orbital gyrus",Limbic,5,Limbic,5
48,"R. orbital gyrus",Limbic,5,Limbic,5
49,"L. orbital gyrus",Limbic,5,Limbic,5
50,"R. orbital gyrus",Limbic,5,Limbic,5
51,"L. orbital gyrus",DMN,7,DMN,7
52,"R. orbital gyrus",DMN,7,DMN,7
53,"L. precentral gyrus",Somatomotor,2,Somatomotor,2
54,"R. precentral gyrus",Somatomotor,2,Somatomotor,2
55,"L. precentral gyrus",Dorsal Attention,3,Dorsal Attention,3
56,"R. precentral gyrus",Dorsal Attention,3,Dorsal Attention,3
57,"L. precentral gyrus",Somatomotor,2,Somatomotor,2
58,"R. precentral gyrus",Somatomotor,2,Somatomotor,2
59,"L. precentral gyrus",Somatomotor,2,Somatomotor,2
60,"R. precentral gyrus",Somatomotor,2,Somatomotor,2
61,"L. precentral gyrus",Ventral Attention,4,Ventral Attention,4
62,"R. precentral gyrus",Ventral Attention,4,Ventral Attention,4
63,"L. precentral gyrus",Dorsal Attention,3,Dorsal Attention,3
64,"R. precentral gyrus",Dorsal Attention,3,Dorsal Attention,3
65,"L. paracentral lobule",Ventral Attention,4,Ventral Attention,4
66,"R. paracentral lobule",Somatomotor,2,Somatomotor,2
67,"L. paracentral lobule",Somatomotor,2,Somatomotor,2
68,"R. paracentral lobule",Somatomotor,2,Somatomotor,2
69,"L. sup. temporal gyrus",Limbic,5,Limbic,5
70,"R. sup. temporal gyrus",Limbic,5,Limbic,5
71,"L. sup. temporal gyrus",Somatomotor,2,Somatomotor,2
72,"R. sup. temporal gyrus",Somatomotor,2,Somatomotor,2
73,"L. sup. temporal gyrus",Somatomotor,2,Somatomotor,2
74,"R. sup. temporal gyrus",Somatomotor,2,Somatomotor,2
75,"L. sup. temporal gyrus",Somatomotor,2,Somatomotor,2
76,"R. sup. temporal gyrus",Somatomotor,2,Somatomotor,2
